,first_name,last_name,sex,nation,adress,province_code,postal_code,email,birthday,age,marital_status,income_per_month,last_education
148,Sumitra,,Unknown,Indonesian,"KRUENG RAYA, SUKAKARYA, SABANG",,23515,sumitradhien2@mail2aphrodite.com,19 September 1997,24.0,divorced,Rp3300000,Bachelor's degree
149,Hafiezah,,F,Indonesian,"PEMATANG DAMAR, BANGKO PUSAKA (PUSAKO), ROKAN HILIR",,28992,hafiezahnuraida_@mail2todd.com,04 August 1989,,divorced,Rp.38850000,Bachelor's degree
150,Melati,,,Indonesian,"POEA, RUMBIA TENGAH, BOMBANA",,93771,kadekj@odnorazovoe.ru,24 April 1997,25.0,single,Rp.22600000,Bachelor's degree
151,Setyawati,Hawariah,F,Indonesian,"IAN TENA, KEWAPANTE, SIKKA",,86181,hawariahsetyawati@mail2maurice.com,21 July 1985,36.0,belum menikah,Rp 49700000,Bachelor's degree
152,Shofiah,,F,Indonesian,"TUGUREJO, KEBAWETAN (KABAWETAN), KEPAHIANG",,39373,nurfaizahqr@visitweb.com,01 October 1998,23.0,single,Rp.41250000,Bachelor's degree
153,Wulandari,,F,Indonesian,"TANJUNG REJO, NEGERI KATON, PESAWARAN",,35353,lenitawulandarif_v@healthemail.net,04 April 1987,35.0,single,Rp 40200000,Bachelor's degree
154,Jefri,,M,Indonesian,"BAKAN, LOLAYAN, BOLAANG MONGONDOW (BOLMONG)",,95771,jefri2&8848.net,16 December 1983,38.0,divorced,Rp7500000,S-1
155,Maemunah,Alzena,F,Indonesian,"AYARI, TELUK AMPIMOI, KEPULAUAN YAPEN (YAPEN WAROPEN)",,98252,maemunah45@nchoicemail.com,16 November 1986,,lajang,Rp 11250000,Bachelor's degree
156,Marzuki,Boentoro,M,Indonesian,"PASMA MAMBU, MESSAWA, MAMASA",,91361,boentoromarzuki@businessman.net,30 September 1998,23.0,divorced,Rp 46700000,S-1
157,Priyo,,M,Indonesian,"KOTO DIAIR, AIR HANGAT, KERINCI",,37161,bagusvv3@animalwoman.net,08 July 1998,,single,Rp 20650000,Doctorate degree
158,Batari,Meulu,F,Indonesian,"SONGOWARENG, BLULUK, LAMONGAN",,62274,batarimeulum@antiqueemail.com,21 May 1998,24.0,married,Rp 20550000,Bachelor's degree
159,Agung,Izzak,,Indonesian,"LAME, PUJUNGAN, MALINAU",,77562,izzakav@schoolemail.com,21 September 1986,35.0,single,Rp14450000,Bachelor's degree
160,Abdul,Wahyu,,Indonesian,"SEBERANG, SEBATIK UTARA, NUNUKAN",,77483,abdulwahyut@cyber4all.com,29 May 1996,26.0,single,Rp 30750000,Bachelor's degree
161,Maisarah,Masturah,,Indonesian,"SAWAH, KUANTAN TENGAH, KUANTAN SINGINGI",,29511,masturahe@tempemail.com,21 August 1987,,lajang,Rp.12450000,Bachelor's degree
162,Tri,,F,Indonesian,"TUMBANG MAGIN, SULING TAMBUN, SERUYAN",62.0,74291,wandicv@meine-urlaubsfotos.de,30 September 1988,,married,Rp 2650000,Bachelor's degree
163,Kirana,Tipah,F,Indonesian,"SAWANG BENDAR, TAHUNA, KEPULAUAN SANGIHE",,95812,tipah9j@mail2gabon.com,26 July 1988,,single,Rp31450000,Bachelor's degree
164,Taufiq,Hamzah,M,Indonesian,"RAMBAH HILIR TIMUR, RAMBAH HILIR, ROKAN HULU",,28557,hamzah_@mail2cathy.com,11 March 1981,,married,Rp.1050000,SMA
165,Endang,Kautsar,Unknown,Indonesian,"UMBU WANGU, WEWEWA SELATAN, SUMBA BARAT DAYA",53.0,87263,kautsarg77@mailzi.ru,16 August 1999,22.0,married,Rp.48050000,Doctorate degree
166,Setyawan,Abdullah,M,Indonesian,"LANGKEMA, KABAENA SELATAN, BOMBANA",,93781,abdullahsetyawanc@wazabi.club,23 April 1997,,married,Rp 37150000,Master's degree
167,Subrata,,M,Indonesian,"LAHUSA SUSUA, ULUSUSUA, NIAS SELATAN",,22866,amatsubratakmp@city-of-coventry.com,19 October 1985,36.0,cerai,Rp.15450000,Bachelor's degree
168,Yatno,,M,Indonesian,"LEMBUNG TIMUR, LENTENG, SUMENEP",,69461,basukiw@hotbrev.com,01 February 1998,24.0,single,Rp.23750000,S3
169,Basyir,Rachman,,Indonesian,"SUBSAL, HOGIO (HUGIO), YAHUKIMO",91.0,99571,basyirrachmanpv@liveradio.tk,03 December 1991,30.0,belum menikah,Rp 8700000,S-1
170,Amran,Khrisna,M,Indonesian,"BANDA, WARIS, KEEROM",,99467,khrisnao9i@inorbit.com,09 February 1995,54.0,single,Rp 5750000,Master's degree
171,Humaidah,Ferisca,F,Indonesian,"TANJUNG BULAN, RAMBANG KUANG, OGAN ILIR",,30869,humaidahferiscav@mailboom.com,26 March 1983,39.0,cerai,Rp 15100000,Master's degree
172,Muhaimin,Krisno,,Indonesian,"KEBONDALEM, KENDAL, KENDAL",,51318,muhaiminkrisno@batuta.net,08 January 1981,41.0,married,Rp27500000,S-1
173,Divanya,Vinata,F,Indonesian,"TORAWAT, KAO BARAT, HALMAHERA UTARA",82.0,97764,divanyavinata@hang-ten.com,22 November 1985,36.0,single,Rp 38850000,Master's degree
174,Dzulqarnain,Wira,,Indonesian,"TANJONG LIPAT II, BENDAHARA, ACEH TAMIANG",11.0,24472,dzulqarnainwira8@postino.it,14 October 1982,78.0,single,Rp.28750000,Bachelor's degree
175,Abdullah,Aa,M,Indonesian,"TULUPARI, TIRIS, PROBOLINGGO",,67287,abdullahb6n@movieluver.com,27 December 1993,112.0,single,Rp37050000,Bachelor's degree
176,Nimah,,F,Indonesian,"AMDUI, BATANTA SELATAN, RAJA AMPAT",,98484,delliay@geologist.com,08 January 1993,29.0,single,Rp 36100000,Bachelor's degree
177,Saifannur,Dzulqarnain,M,Indonesian,"PEBOA, PETASIA TIMUR, MOROWALI",,94971,saifannur7o@qwest.net,06 January 1997,25.0,single,Rp.9300000,Bachelor's degree
178,Kadek,,F,Indonesian,"MATANG BALOY, TANAH LUAS, ACEH UTARA",,24385,kadek9@mail2world.com,04 January 1993,29.0,single,Rp16750000,Bachelor's degree
179,Dzulqarnain,Wira,,Indonesian,"TANJONG LIPAT II, BENDAHARA, ACEH TAMIANG",11.0,24472,dzulqarnainwira8@postino.it,14 October 1982,78.0,single,Rp.28750000,Bachelor's degree
180,Melur,Puspawati,,Indonesian,"LIMO KOTO, BONJOL, PASAMAN",,26381,melurpuspawatih@eprompter.com,13 June 1986,36.0,divorced,Rp22800000,Bachelor's degree
181,Putry,Widia,F,Indonesian,"BANJAR GANJANG, PARMAKSIAN, TOBA SAMOSIR",,22384,widia7l@deafemail.net,12 November 1981,,married,Rp9400000,S1
182,Andri,Wahyu,M,Indonesian,"WAYATI, FAKFAK TIMUR, FAKFAK",,98662,andrijk@mailguard.me,03 April 1981,nan,lajang,Rp.32350000,S-1
183,Fakhriyah,Sariwati,F,Indonesian,"PURWOSARI, NATAR, LAMPUNG SELATAN",,35362,fakhriyahsariwatini1@ekidz.com.au,16 September 1991,30.0,belum menikah,Rp.47400000,High school graduate
184,Qalbinur,,Unknown,Indonesian,"GELOK MULYA, SUMBERJAYA, MAJALENGKA",,45455,qn9tot1k@mail2jamie.com,01 February 1985,37.0,menikah,Rp9700000,Bachelor's degree
185,Rarung,Mahendri,,Indonesian,"BATUAJI, RINGINREJO, KEDIRI",,64176,rarunggt@expressasia.com,31 December 1986,,single,Rp 7050000,S-1
186,Bis,,M,Indonesian,"KELINJAU ULU, MUARA ANCALONG, KUTAI TIMUR",,75556,memed0x@mamber.net,11 September 1982,39.0,single,Rp 36050000,S1
187,Zulkarnaen,Budiman,M,Indonesian,"SUKAJAYA, KORONCONG, PANDEGLANG",,42251,zulkarnaenobr@from-brazil.com,25 May 1989,33.0,married,Rp 22150000,Master's degree
188,Hendra,Lingga,M,Indonesian,"SEMELINANG TEBING, PERANAP, INDRAGIRI HULU",,29354,hendra_c@mail2algeria.com,25 March 1992,,menikah,Rp.25900000,S1
189,Ibu,Nirmala,F,Indonesian,"SEMANAN, KALIDERES, JAKARTA BARAT",,11850,nirmalaibu1^a-player.org,10 September 1988,33.0,single,Rp.42900000,S1
190,Kamelia,Mei,,Indonesian,"LUBUK BERNAI, BATANG ASAM, TANJUNG JABUNG BARAT",,36552,meikameliap@pakistanmail.com,02 January 1984,38.0,single,Rp 42150000,S-1
191,Nimatullah,Alie,M,Indonesian,"SIBLAH COH, ULIM, PIDIE JAYA",,24187,nimatullahalie9f@mail2adorable.com,15 May 1987,35.0,single,Rp.39750000,S-1
192,Bulan,Saniah,F,Indonesian,"DRIYOREJO, DRIYOREJO, GRESIK",,61177,bulansaniahch9@regbypass.com,24 June 1992,,single,Rp41450000,S2
193,Priskiana,,,Indonesian,"SEKARAN, JATIROGO, TUBAN",,62362,ayinf7@freeandsingle.com,07 July 1996,25.0,single,Rp 38500000,Bachelor's degree
194,Erviana,,,Indonesian,"CIBATU, CISAAT, SUKABUMI",,43152,ratihh@mail2gabon.com,07 November 1992,29.0,married,Rp25050000,Bachelor's degree
195,Nuraida,Setiawati,F,Indonesian,"PIRIKAN, SECANG, MAGELANG",,56195,setiawati4n@norikomail.com,27 July 1985,36.0,belum menikah,Rp15350000,Bachelor's degree
196,Khaerunnisa,Batari,F,Indonesian,"MAWALI, LEMBEH UTARA, BITUNG",71.0,95555,batarilg@aol.com,13 August 1989,32.0,lajang,Rp1450000,S-1
197,Maman,Kamaruzzaman,M,Indonesian,"TANJUNG LANJUT, SEKERNAN, MUARO JAMBI",,36381,kamaruzzamanmamanb2@lowandslow.com,09 January 1992,90.0,divorced,Rp 8400000,Bachelor's degree
198,Suhaeli,Achmad,M,Indonesian,"KAWE, AWINBON, PEGUNUNGAN BINTANG",,99575,suhaeli1j@the-airforce.com,15 November 1997,24.0,married,Rp 10750000,Doctorate degree
199,Arsyad,,M,Indonesian,"REONG, DUSUN UTARA, BARITO SELATAN",,73752,nurdinarsyadv@techscout.com,20 October 1988,33.0,single,Rp.23050000,Bachelor's degree
200,Shiane,,F,Indonesian,"LAMARAN, BINUANG, SERANG",,42196,buleuena@mail2westend.com,14 November 1985,nan,single,Rp 35150000,Bachelor's degree
201,Setyawati,Kartika,F,Indonesian,"OBESI, MOLLO UTARA, TIMOR TENGAH SELATAN",,85552,kartikasetyawatild&mail.r-o-o-t.com,21 March 1986,36.0,divorced,Rp.2000000,SMK
202,Wahyu,Noerdin,M,Indonesian,"PEGAGAN JULU I, SUMBUL, DAIRI",,22281,wahyunoerdinu@mail2christmas.com,21 October 1997,24.0,belum menikah,Rp42150000,Bachelor's degree
203,Mahfud,Raffi,M,Indonesian,"CANDI, BANDAR, BATANG",,51254,raffimahfudw@llandudno.com,26 April 1996,26.0,lajang,Rp8850000,S1
204,Ishak,Robiy,M,Indonesian,"HELUMO, ANGGREK, GORONTALO UTARA",,96525,robiynn@hotmail.com.au,06 May 1996,-26.0,divorced,Rp10400000,S-1
205,Jahja,Durahman,M,Indonesian,"PASARAN PARSAORAN, NAINGGOLAN, SAMOSIR",,22394,durahman1@sent.at,04 March 1997,25.0,lajang,Rp 15200000,Bachelor's degree
206,Kamaruddin,,,Indonesian,"TEBING RAMBUTAN, NASAL, KAUR",,38964,kamaruddinl6@space-man.com,12 December 1984,37.0,lajang,Rp.38500000,Bachelor's degree
207,Yatno,,M,Indonesian,"LEMBUNG TIMUR, LENTENG, SUMENEP",,69461,basukiw@hotbrev.com,01 February 1998,24.0,single,Rp.23750000,S3
208,Dally,Maman,,Indonesian,"SIGI, KAHAYAN TENGAH, PULANG PISAU",,74862,mamandally11@mail2persian.com,19 February 1988,34.0,divorced,Rp400000,Bachelor's degree
209,Nasirah,Bahirah,F,Indonesian,"TABONGO BARAT, TABONGO, GORONTALO",,96271,bahirahnasirahy@pool-sharks.com,06 November 1995,26.0,married,Rp18450000,Bachelor's degree
210,Masturah,Wulan,F,Indonesian,"TENILO, LIMBOTO, GORONTALO",,96218,masturahms@interlap.com.ar,13 May 1994,28.0,single,Rp 40450000,Bachelor's degree
211,Kasim,Hamengkubuwono,,Indonesian,"NGARES, TRENGGALEK, TRENGGALEK",,66319,hamengkubuwonokasim1b@iobox.fi,31 May 1998,,single,Rp.7200000,Bachelor's degree
212,Moammar,,M,Indonesian,"EMPANG BAWAH, EMPANG, SUMBAWA",,84384,mahmudimoammar3a@fastemailextractor.net,25 July 1981,120.0,married,Rp.38150000,Bachelor's degree
213,Marno,Zulkipli,M,Indonesian,"KARANG REJO, SEMAKA, TANGGAMUS",,35386,zulkiplimarnoj@i-love-cats.com,21 June 1987,34.0,divorced,Rp 5000000,Master's degree
214,Luh,,F,Indonesian,"MULYO SARI, TANJUNG SARI, LAMPUNG SELATAN",,35361,mutiad2@web-mail.com.ar,16 January 1991,nan,single,Rp.25150000,S1
215,Mochtar,Raharjo,M,Indonesian,"YALMABI, BOMELA, YAHUKIMO",,99578,mochtarraharjojw1@conexcol.com,01 December 1988,,cerai,Rp 35700000,Bachelor's degree
216,Masudah,,,Indonesian,"IRIATI, WASIOR, TELUK WONDAMA",92.0,98362,zalmazg@quickmail.nl,02 December 1987,,belum menikah,Rp.21700000,S-1
217,Man,Memoir,Unknown,Indonesian,"GEDAWANG, BANYUMANIK, SEMARANG",33.0,50266,memoirpr@pezeshkpour.com,19 October 1994,27.0,single,Rp 13050000,S2
218,Chintara,,F,Indonesian,"OGODOME (ODAGOME), BALINGGA, LANNY JAYA",,99567,chintarawidiast@vip.qq.com,22 October 1994,27.0,single,Rp44000000,Bachelor's degree
219,Kusumo,,M,Indonesian,"TATABA, BUKO, BANGGAI KEPULAUAN",,94881,junaedi@gocubs.com,10 June 1988,,single,Rp.25200000,Bachelor's degree
220,Syaripah,Dian,F,Indonesian,"SINAR PALEMBANG, CANDIPURO, LAMPUNG SELATAN",,35356,syaripah0wf@mail2bolivia.com,30 August 1991,,single,Rp 27950000,Bachelor's degree
221,Abdurachman,Adenan,M,Indonesian,"TAPAK MERIAH, SILINDA, SERDANG BEDAGAI",12.0,20984,adenanq7@email.it,24 August 1997,24.0,single,Rp8800000,Bachelor's degree
222,Alzena,Bulan,F,Indonesian,"JOHO, PRAMBANAN, KLATEN",,57454,alzenabulan@the-galaxy.net,05 September 1987,34.0,menikah,Rp 48300000,Bachelor's degree
223,Bernardia,Susilawati,F,Indonesian,"LENGKONG, MOJOANYAR, MOJOKERTO",,61364,bernardiasusilawati@mail2protect.com,28 March 1993,58.0,married,Rp.46650000,Bachelor's degree
224,Aziem,,M,Indonesian,"MANGGIHAN, GETASAN, SEMARANG",,50774,aziemsutrisnoqw@hotmail.fi,10 April 1988,34.0,single,Rp 4550000,Bachelor's degree
225,Nurmala,Novita,F,Indonesian,"LEBUNG LAWE, BUAY BAHUGA, WAY KANAN",,34767,novitanurmalaitd@yahoofs.com,05 November 1997,24.0,menikah,Rp 37000000,High school graduate
226,Paridah,Noorhayati,F,Indonesian,"BATANG, TAKABONERATE, SELAYAR (KEPULAUAN SELAYAR)",,92861,paridah928@canoemail.com,02 December 1999,22.0,single,Rp 20450000,Bachelor's degree
227,Saidah,Sri,F,Indonesian,"MOLOBOG BARAT, NUANGAN, BOLAANG MONGONDOW TIMUR",,95775,srik@from-russia.com,16 June 1981,40.0,married,Rp11450000,S-1
228,Rizka,Syamsiah,,Indonesian,"DIMBARA, GEYA, TOLIKARA",,99562,4g6yi@chaiyomail.com,07 September 1989,32.0,cerai,Rp 19000000,Bachelor's degree
229,Marwilis,Syahnaz,Unknown,Indonesian,"SEULEUMAK MUDA, NURUSSALAM, ACEH TIMUR",,24456,marwilissyahnaz2n@fastmail.cn,05 March 1988,34.0,single,Rp49000000,Master's degree
230,Shafiyah,,F,Indonesian,"ADABANG, TITEHENA, FLORES TIMUR",,86253,shafiyah3k@mail2cowboy.com,07 December 1982,39.0,single,Rp28250000,S1
231,Halida,,F,Indonesian,"SAWANG, MELONGUANE, KEPULAUAN TALAUD",,95885,halida_k@delikkt.de,05 September 1999,nan,single,Rp32900000,Bachelor's degree
232,Basuki,Hawari,M,Indonesian,"LALONONA, AMONGGEDO, KONAWE",74.0,93463,basukitta@from-belgium.com,08 September 1999,,single,Rp.23000000,Bachelor's degree
233,Aisyah,Keumala,F,Indonesian,"PANJANG, BAE, KUDUS",,59326,aisyahkeumala8@pandora.be,15 March 1996,-26.0,married,Rp 43000000,S-1
234,Achmed,Slamet,M,Indonesian,"SINDULANG, CIMANGGUNG, SUMEDANG",32.0,45364,achmedslamet@jakuza.hu,15 August 1981,,single,Rp.4900000,S-1
235,Syarifah,Hafiza,F,Indonesian,"DOULE, RUMBIA, BOMBANA",,93771,hafizau@from-mexico.com,14 July 1996,25.0,married,Rp 20200000,Bachelor's degree
236,Wachid,,M,Indonesian,"SAMBIREJO, NGAWEN, GUNUNG KIDUL",34.0,55853,alamwachidq@excite.co.uk,22 September 1991,30.0,married,Rp11050000,Bachelor's degree
237,Prasetyo,,M,Indonesian,"SINDANGHURIP, BANTARUJEG, MAJALENGKA",,45464,sulaiman_e@smileyface.comsmithemail.net,17 February 1985,37.0,divorced,Rp 29250000,Bachelor's degree
238,Laela,,F,Indonesian,"TELUK PAKEDAI HULU, TELUK / TELOK PAKEDAI, KUBU RAYA",,78383,laela@m-a-i-l.com,03 January 1985,37.0,single,Rp.12350000,Bachelor's degree
239,Suryawati,Sherly,,Indonesian,"HAROME, OBAA, MAPPI",,99871,sherly@net-c.it,28 November 1980,41.0,lajang,Rp22900000,High school graduate
240,Jamaludin,Yacub,M,Indonesian,"SUNGAI GEDANG, SINGKUT, SAROLANGUN",,37482,jamaludinp@mail2nevada.com,13 March 1987,,single,Rp.20150000,Master's degree
241,Fatimah,Marlika,F,Indonesian,"BANDAEHA, OHEO, KONAWE UTARA",,93353,fatimahy4@sexmagnet.com,19 June 1989,128.0,married,Rp 32400000,High school graduate
242,Latip,Zulkifly,M,Indonesian,"PURWOKERTO, BRANGSONG, KENDAL",,51371,91f8ao@fastmail.co.uk,11 September 1984,37.0,single,Rp.41750000,S-1
243,Dzulkarnaen,,M,Indonesian,"CIPAYUNG, PADARINCANG, SERANG",,42168,dzulkarnaen0s@mail2hera.com,03 September 1984,37.0,single,Rp.27300000,Bachelor's degree
244,Nurma,Novita,,Indonesian,"PESIK, SOJOL UTARA, DONGGALA",,94356,novita2@mail2marriage.com,10 December 1997,24.0,single,Rp.35350000,Master's degree
245,Wangi,Annisa,F,Indonesian,"SIALINGAN, LEMBAK, MUARA ENIM",,31171,wangiannisav_@hackermail.com,18 August 1999,22.0,single,Rp12300000,Bachelor's degree
246,Samirah,Zeva,F,Indonesian,"TOLBUK (TOLLUK), KLAMPIS, BANGKALAN",,69153,zeva3r@easypost.com,20 May 1993,29.0,divorced,Rp 40550000,S-1
247,Habibah,,,Indonesian,"KAWINDA TOI, TAMBORA, BIMA",,84191,habibahl@wanadoo.co.uk,03 February 1994,,married,Rp 7500000,Bachelor's degree
248,Hafiza,Syakira,F,Indonesian,"BATU BULEK, LINTAU BUO UTARA, TANAH DATAR",,27292,syakirahafiza6e@buymoreplays.com,01 September 1984,37.0,single,Rp.4150000,Bachelor's degree
249,Suriana,Fadhilah,,Indonesian,"KARANGJATI, WONOSEGORO, BOYOLALI",,57382,surianak@sunmail1.com,09 December 1990,31.0,lajang,Rp.38800000,Bachelor's degree
250,Aisy,,,Indonesian,"PIPITMO, WOUMA, JAYAWIJAYA",,99511,aisy8h@mail2marvin.com,18 November 1981,40.0,belum menikah,Rp35800000,S-1
251,Khairina,Rochani,,Indonesian,"LOBO, KAIMANA, KAIMANA",,98654,rochaniiy6@cityoflondon.org,15 November 1991,,single,Rp15200000,Doctorate degree
252,Mochamad,Fajar,M,Indonesian,"SIAK, PANAGA, TOLIKARA",,99569,fajar1@acdcfan.com,03 October 1989,32.0,single,Rp19200000,S-1
253,Rizal,Ahmad,M,Indonesian,"LAM COK, LHOKNGA (LHO\NGA), ACEH BESAR",,23353,ahmadrizal_x+vjtimail.com,10 December 1987,nan,single,Rp.22000000,High school graduate
254,Chaidar,Rustam,M,Indonesian,"KARANG TALUN, TANON, SRAGEN",,57277,chaidarrustamg4@dodsi.com,09 May 1999,23.0,married,Rp 15950000,High school graduate
255,Lusilla,Widia,F,Indonesian,"HARJOSARI, DORO, PEKALONGAN",,51191,lusillaq@mariahc.com,12 April 1995,27.0,single,Rp6050000,Doctorate degree
256,Chairul,Bonifasius,M,Indonesian,"LADEA ORAHUA, GIDO, NIAS",,22871,bonifasiuschairuln@ahaa.dk,09 February 1993,,married,Rp 16150000,High school graduate
257,Munawar,Rahmat,Unknown,Indonesian,"TEKANA, BUANA PEMACA, OGAN KOMERING ULU SELATAN",,32264,rahmatmunawar6km@twc.com,29 October 1996,,belum menikah,Rp 17900000,S-1
258,Zulkifly,,M,Indonesian,"WAIBRON, SENTANI BARAT, JAYAPURA",,99358,widodozulkifly_lq@the-canadian.com,31 March 1980,,belum menikah,Rp 17100000,Doctorate degree
259,Setiawati,Skolastika,F,Indonesian,"NANGA RIYOI, SERAWAI (NANGA SERAWAI), SINTANG",,78683,skolastikasetiawatipx1@webskulker.com,02 May 1986,36.0,single,Rp.6650000,S-2
260,Abdurrahim,Kuat,,Indonesian,"SUTERA (SUTRA), SUKADANA, KAYONG UTARA",,78852,kuatf@beer.com,14 October 1990,31.0,married,Rp35700000,Bachelor's degree
261,Lutfi,Yakobus,,Indonesian,"LUMBUDOLO, BANAWA TENGAH, DONGGALA",,94351,_ri7ed@ukdreamcast.com,20 January 1985,37.0,single,Rp.23600000,Bachelor's degree
262,Mego,Khairul,M,Indonesian,"SIPURE, BALAESANG, DONGGALA",,94355,megowhs@servermaps.net,03 June 1989,33.0,single,Rp.24750000,Bachelor's degree
263,Haniah,,F,Indonesian,"LONG LUNUK, LONG PAHANGAI, KUTAI BARAT",,75768,haniahmn@quikmail.com,18 March 1995,27.0,belum menikah,Rp24350000,Bachelor's degree
264,Mega,,M,Indonesian,"PULO RANGKILEH, JEUNIEB, BIREUEN",,24263,mega6^lazyinbox.com,20 May 1983,39.0,single,Rp 5250000,S-2
265,Husin,Saepudin,M,Indonesian,"PELAWAD, CIRUAS, SERANG",,42182,saepudinhusiniz@metacrawler.com,26 February 1995,27.0,married,Rp.22250000,S-1
266,Khairuddin,Redha,M,Indonesian,"CICAU, CIKARANG PUSAT, BEKASI",,17530,khairuddinredham_j@email.women.com,20 June 1993,,single,Rp 33950000,Bachelor's degree
267,Syafii,Khairul,M,Indonesian,"SUKAMULYA, MEKARJAYA, PANDEGLANG",,42271,syafiikhairulh@thirdage.com,05 July 1990,31.0,married,Rp.44250000,Bachelor's degree
268,Livi,Nuraida,F,Indonesian,"DUWET, TUMPANG, MALANG",,65156,nuraidab@oso.com,21 March 1996,,lajang,Rp 24600000,S-1
269,Hasyim,,,Indonesian,"SILAM, KUOK (BANGKINANG BARAT), KAMPAR",,28463,agushasyim2@hotlinemail.com,09 October 1996,,menikah,Rp.35500000,Bachelor's degree
270,Anies,Rezki,Unknown,Indonesian,"TUKTUK SIADONG, SIMANINDO, SAMOSIR",,22395,rezki@finebody.com,11 November 1988,nan,single,Rp26300000,Bachelor's degree
271,Kartika,,F,Indonesian,"KARANGANYAR, PASEKAN, INDRAMAYU",,45213,kartika80@tycoonmail.com,19 November 1987,34.0,single,Rp3600000,S1
272,Meiliana,Nur,F,Indonesian,"LANDAU PANJANG, SEPAUK, SINTANG",,78662,meiliananurlvn@ecompare.com,01 December 1987,,married,Rp.11050000,Bachelor's degree
273,Mulyaningsih,Shafa,F,Indonesian,"MALAHU, LIMBOTO, GORONTALO",,96211,shafapgz@mail2suzie.com,20 June 1986,35.0,married,Rp5250000,High school graduate
274,Waqid,Zulkarnaen,M,Indonesian,"TUMUMPA SATU, TUMINITING, MANADO",,95239,3zbev54@mail2life.com,21 May 1985,,single,Rp 43650000,Master's degree
275,Ngurah,Abdurrahim,M,Indonesian,"KARANGTALUN LOR, PURWOJATI, BANYUMAS",,53175,ngurahabdurrahimbu@mail2senate.com,14 August 1993,,menikah,Rp29400000,Bachelor's degree
276,Fitri,,Unknown,Indonesian,"LAPOLE, MALIGANO, MUNA",,93674,lukyp@muslimemail.com,16 September 1989,,menikah,Rp35650000,Bachelor's degree
277,Komariah,Mulyaningsih,,Indonesian,"BUNTU BURAKE, MAKALE, TANA TORAJA",,91817,2d9gom3@techsniper.com,25 February 1982,40.0,single,Rp.32750000,Master's degree
278,Puspita,Aminah,,Indonesian,"KOTO BARU, SEPULUH KOTO (X KOTO), TANAH DATAR",,27151,aminahc@mail2exciting.com,26 May 1989,33.0,married,Rp35400000,Bachelor's degree
279,Budiarto,Mulyana,,Indonesian,"YONGGUN, TINGGINAMBUT, PUNCAK JAYA",,98912,mulyana57m@mail2gail.com,07 February 1982,40.0,married,Rp35600000,S-1
280,Anisa,,F,Indonesian,"PASAR BARU RANTAU, TABIR, MERANGIN",,37353,r6zr4nq3@soldier.hu,18 January 1987,35.0,belum menikah,Rp.18400000,Bachelor's degree
281,Ramli,Angkasa,M,Indonesian,"PATTONGKO, TELLU LIMPOE, SINJAI",,91671,angkasa6@blueyonder.co.uk,22 March 1990,,single,Rp.46300000,High school graduate
282,Ayu,Yunia,F,Indonesian,"SEI / SUNGAI NAGA LAWAN, PERBAUNGAN, SERDANG BEDAGAI",12.0,20986,yunia4@dog.com,31 March 1990,32.0,single,Rp 27850000,Bachelor's degree
283,Hapsah,Tya,F,Indonesian,"BAKALAN, BUGUL KIDUL, PASURUAN",35.0,67128,hapsah4@edtnmail.com,30 January 1995,27.0,single,Rp.40500000,S1
284,Kurnia,Arsal,Unknown,Indonesian,"DIAQ LAY, MUARA WAHAU, KUTAI TIMUR",,75655,arsal3n@homestead.com,02 July 1998,,married,Rp.23500000,S3
285,Yohanes,Fahmy,M,Indonesian,"PANTE LHONG, PEUSANGAN, BIREUEN",11.0,24261,yohanesfahmy30@kgb.hu,03 October 1990,31.0,married,Rp1350000,Bachelor's degree
286,Dewiana,Tousa,F,Indonesian,"BIATAPA, BIANDOGA, INTAN JAYA",91.0,98784,dewianajh@mystupidjob.com,11 January 1989,33.0,married,Rp 42650000,Master's degree
287,Susilawati,,,Indonesian,"BELIKURIP, BATURETNO, WONOGIRI",33.0,57673,ceudahsusilawati1k@lovetocook.net,02 January 1982,,married,Rp.3550000,Bachelor's degree
288,Akifah,Azima,F,Indonesian,"TELUK NAGA, TELUKNAGA, TANGERANG",,15510,azimaakifaho@vollbio.de,07 August 1984,,married,Rp.22100000,Bachelor's degree
289,Husnah,Kuntum,F,Indonesian,"CIKUNDUL, LEMBURSITU, SUKABUMI",32.0,43168,kuntumhusnaho@mailpuppy.com,22 November 1998,23.0,single,Rp.1200000,S2
290,Mastura,Suriani,F,Indonesian,"PANGAMBATEN, MEREK, KARO",12.0,22173,masturasurianiw@lagerlouts.com,21 September 1991,30.0,married,Rp.33900000,Bachelor's degree
291,Edhi,Hendra,M,Indonesian,"PILOLAHUNGA, POSIGADAN, BOLAANG MONGONDOW SELATAN",,95774,hendralo@wbdet.com,09 June 1990,32.0,single,Rp30350000,SMK
292,Tsarina,Maemunah,F,Indonesian,"TANAH BEKALI, TANAH SEPENGGAL, BUNGO",,37263,maemunahtsarinana@our-computer.com,02 April 1995,27.0,single,Rp.17750000,S1
293,Ilham,Setiawan,M,Indonesian,"JATAKE, JATIUWUNG, TANGERANG",,15136,setiawanilhamzye@mbx.cc,06 October 1988,,single,Rp 16150000,Bachelor's degree
294,Banyu,,M,Indonesian,"SUKO HARJO, NGAGLIK, SLEMAN",,55581,bonifasiusbanyuh@footard.com,31 March 1988,34.0,married,Rp 35700000,Bachelor's degree
